User Reward Progress V1 Campaign ID,User Reward Progress V1 Fp Amount,User Reward Progress V1 Reward Type,User Reward Progress V1 Shop Item ID,User Reward Progress V1 Status,User Reward Progress V1 Total Events,User Reward Progress V1 Total Unique Users
694a8de78e214f349b54591a,0,shop_item,694bb640c86a5f8289bb24ea,IN_PROGRESS,"2,242","2,242"
694a8de78e214f349b54591a,0,shop_item,694bb7e4f68574a3cf8b2517,CLAIMED,63,63
694a8de78e214f349b54591a,0,unknown,,EXPIRED,"2,204","2,172"
694a8de78e214f349b54591a,0,shop_item,694bb7e4f68574a3cf8b2517,IN_PROGRESS,"2,055","2,053"
694a8de78e214f349b54591a,0,shop_item,694bb640c86a5f8289bb24ea,CLAIMED,"2,059","2,059"
694a8de78e214f349b54591a,0,unknown,,COMPLETED,"2,091","2,028"
697893428bc18e02af3cb92e,0,shop_item,697b4e5d0f8e5781e4e2ef56,IN_PROGRESS,"39,175","39,174"
697893428bc18e02af3cb92e,"1,000",faceit_points,,COMPLETED,"1,927","1,927"
697893428bc18e02af3cb92e,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,488,488
697893428bc18e02af3cb92e,0,unknown,,CLAIMED,531,490
697893428bc18e02af3cb92e,0,unknown,,COMPLETED,531,490
697893428bc18e02af3cb92e,"1,000",faceit_points,,IN_PROGRESS,"47,087","47,087"
697893428bc18e02af3cb92e,0,unknown,,EXPIRED,"84,291","47,021"
697893828bc18e02af3cb92f,0,unknown,,EXPIRED,"7,460","5,747"
697893828bc18e02af3cb92f,0,unknown,,CLAIMED,"5,234","5,130"
697893828bc18e02af3cb92f,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,93,93
697893828bc18e02af3cb92f,0,shop_item,697b4d3363a4d5c0bc82da7d,FAILED,4,4
697893828bc18e02af3cb92f,0,unknown,,COMPLETED,"3,515","3,424"
697893828bc18e02af3cb92f,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"5,769","5,767"
697893828bc18e02af3cb92f,0,shop_item,697b4e5d0f8e5781e4e2ef56,IN_PROGRESS,"5,114","5,114"
697893ba9cdcb10e9c74577b,0,shop_item,697b4d3363a4d5c0bc82da7d,IN_PROGRESS,"4,547","4,547"
697893ba9cdcb10e9c74577b,0,unknown,,CLAIMED,"4,215","4,036"
697893ba9cdcb10e9c74577b,0,unknown,,EXPIRED,"5,894","4,373"
697893ba9cdcb10e9c74577b,0,shop_item,697b4e940f8e5781e4e2ef58,IN_PROGRESS,"4,015","4,014"
697893ba9cdcb10e9c74577b,0,unknown,,COMPLETED,"2,668","2,507"
6978945688d3595e56b67839,500,faceit_points,,IN_PROGRESS,"390,918","390,916"
6978945688d3595e56b67839,0,shop_item,697b4f0463a4d5c0bc82da81,FAILED,1,1
6978945688d3595e56b67839,0,unknown,,CLAIMED,"1,937","1,825"
6978945688d3595e56b67839,500,faceit_points,,AVAILABLE,5,5
6978945688d3595e56b67839,500,faceit_points,,COMPLETED,"9,067","9,046"
6978945688d3595e56b67839,0,unknown,,COMPLETED,"1,933","1,821"
6978945688d3595e56b67839,0,shop_item,697b4f0463a4d5c0bc82da81,IN_PROGRESS,"363,562","363,548"
6978945688d3595e56b67839,0,shop_item,697b4f3b0f8e5781e4e2ef59,IN_PROGRESS,"1,822","1,820"
6978945688d3595e56b67839,0,unknown,,EXPIRED,"651,140","376,308"
697894869cdcb10e9c74577d,0,unknown,,EXPIRED,"85,291","58,034"
697894869cdcb10e9c74577d,0,unknown,,COMPLETED,"28,448","27,915"
697894869cdcb10e9c74577d,0,shop_item,697b4f3b0f8e5781e4e2ef59,IN_PROGRESS,646,644
