Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
Thailand,2026-04-04,63,$0.02 ,$0.38 ,2.87%
Thailand,2026-04-06,63,$0.00 ,$0.02 ,4.24%
Japan,2026-04-01,62,$0.01 ,$0.13 ,5.67%
Latvia,2026-04-01,62,$0.01 ,$0.13 ,2.98%
Lithuania,2026-04-01,61,$0.01 ,$0.16 ,2.35%
Lithuania,2026-04-07,61,$0.01 ,$0.20 ,3.33%
Malaysia,2026-03-31,61,$0.00 ,$0.04 ,3.81%
Norway,2026-04-04,61,$0.01 ,$0.20 ,2.46%
Singapore,2026-04-04,61,$0.01 ,$0.15 ,1.57%
Thailand,2026-03-31,61,$0.01 ,$0.15 ,2.86%
Vietnam,2026-04-03,61,$0.01 ,$0.13 ,2.04%
Bulgaria,2026-03-31,60,$0.00 ,$0.05 ,4.04%
Greece,2026-04-05,60,$0.02 ,$0.25 ,9.88%
Greece,2026-04-08,60,$0.02 ,$0.28 ,8.53%
Mexico,2026-04-01,60,$0.02 ,$0.32 ,31.25%
Uzbekistan,2026-03-31,60,$0.02 ,$0.31 ,4.92%
Austria,2026-03-31,59,$0.01 ,$0.11 ,4.91%
Italy,2026-03-30,58,$0.01 ,$0.13 ,9.34%
Malaysia,2026-04-06,58,$0.01 ,$0.12 ,4.94%
Peru,2026-04-08,58,$0.00 ,$0.01 ,7.59%
Austria,2026-03-30,57,$0.01 ,$0.17 ,6.42%
Vietnam,2026-04-05,57,$0.01 ,$0.10 ,1.64%
Finland,2026-04-06,56,$0.00 ,$0.02 ,1.09%
Japan,2026-03-31,56,$0.01 ,$0.11 ,5.66%
Japan,2026-04-04,56,$0.01 ,$0.12 ,3.85%
Peru,2026-04-05,56,$0.00 ,$0.01 ,4.76%
Belgium,2026-04-04,55,$0.01 ,$0.24 ,3.02%
Kyrgyzstan,2026-03-30,55,$0.01 ,$0.21 ,12.73%
Singapore,2026-04-06,55,$0.01 ,$0.19 ,1.04%
Thailand,2026-03-30,55,$0.06 ,$1.08 ,2.67%
Japan,2026-04-03,54,$0.01 ,$0.11 ,4.76%
Singapore,2026-03-31,54,$0.01 ,$0.17 ,4.01%
Malaysia,2026-04-05,53,$0.01 ,$0.12 ,2.56%
Austria,2026-04-05,52,$0.01 ,$0.11 ,3.19%
Hungary,2026-04-07,52,$0.00 ,$0.09 ,2.41%
Japan,2026-04-06,52,$0.00 ,$0.09 ,3.44%
Bulgaria,2026-04-03,51,$0.00 ,$0.04 ,4.59%
Chile,2026-04-06,51,$0.02 ,$0.33 ,7.88%
Malaysia,2026-04-03,51,$0.01 ,$0.11 ,2.68%
Norway,2026-03-30,51,$0.02 ,$0.34 ,2.40%
Vietnam,2026-04-01,51,$0.02 ,$0.33 ,1.64%
Finland,2026-04-08,49,$0.00 ,$0.03 ,1.04%
Greece,2026-04-07,49,$0.01 ,$0.22 ,9.63%
Japan,2026-04-08,49,$0.01 ,$0.17 ,2.63%
Norway,2026-04-01,49,$0.00 ,$0.07 ,2.04%
Taiwan,2026-03-30,49,$0.01 ,$0.12 ,0.74%
Belgium,2026-04-05,48,$0.01 ,$0.19 ,4.12%
Thailand,2026-04-08,48,$0.00 ,$0.03 ,3.25%
New Zealand,2026-04-08,47,$0.01 ,$0.16 ,9.07%
South Africa,2026-03-30,47,$0.01 ,$0.17 ,8.83%
South Africa,2026-03-31,47,$0.00 ,$0.10 ,11.38%
Lithuania,2026-04-05,46,$0.01 ,$0.20 ,2.74%
Turkiye,2026-04-01,46,$0.01 ,$0.21 ,0.44%
Ukraine,2026-04-07,46,$0.01 ,$0.14 ,0.43%
India,2026-04-08,45,$0.00 ,$0.09 ,2.10%
Mexico,2026-04-08,45,$0.01 ,$0.12 ,12.26%
Norway,2026-03-31,45,$0.00 ,$0.03 ,1.77%
Singapore,2026-04-03,45,$0.01 ,$0.14 ,1.97%
China,2026-04-03,44,$0.01 ,$0.27 ,1.96%
Croatia,2026-04-02,44,$0.01 ,$0.28 ,9.91%
India,2026-04-03,44,$0.00 ,$0.09 ,2.14%
Mexico,2026-04-05,44,$0.02 ,$0.42 ,28.03%
Norway,2026-04-06,43,$0.00 ,$0.10 ,1.14%
Peru,2026-04-01,43,$0.00 ,$0.11 ,5.69%
Belgium,2026-04-02,42,$0.01 ,$0.25 ,4.31%
Chile,2026-04-07,42,$0.01 ,$0.22 ,4.40%
Croatia,2026-04-03,41,$0.01 ,$0.24 ,8.82%
Malaysia,2026-03-30,41,$0.01 ,$0.15 ,2.19%
Bulgaria,2026-04-04,40,$0.00 ,$0.02 ,3.26%
Finland,2026-04-05,40,$0.00 ,$0.02 ,0.80%
Japan,2026-03-30,40,$0.00 ,$0.08 ,1.47%
Estonia,2026-04-02,39,$0.01 ,$0.26 ,3.59%
Finland,2026-03-31,39,$0.00 ,$0.04 ,0.93%
Finland,2026-04-02,39,$0.00 ,$0.02 ,0.77%
Hungary,2026-04-08,39,$0.01 ,$0.15 ,1.86%
Malaysia,2026-04-04,39,$0.01 ,$0.17 ,2.75%
Austria,2026-04-01,38,$0.00 ,$0.10 ,3.41%
Estonia,2026-03-30,38,$0.01 ,$0.21 ,4.55%
Greece,2026-04-03,38,$0.01 ,$0.25 ,9.11%
Belgium,2026-04-03,37,$0.01 ,$0.35 ,2.61%
Bulgaria,2026-04-01,37,$0.00 ,$0.06 ,1.91%
Bulgaria,2026-04-06,37,$0.00 ,$0.05 ,4.05%
Chile,2026-04-08,37,$0.01 ,$0.32 ,5.71%
Italy,2026-03-31,37,$0.01 ,$0.15 ,5.86%
New Zealand,2026-04-03,37,$0.01 ,$0.17 ,8.26%
Singapore,2026-04-05,37,$0.01 ,$0.16 ,1.19%
Malaysia,2026-04-07,36,$0.00 ,$0.14 ,2.15%
Peru,2026-03-31,36,$0.01 ,$0.19 ,3.78%
Thailand,2026-04-02,36,$0.01 ,$0.24 ,1.64%
China,2026-04-07,35,$0.00 ,$0.07 ,0.64%
Estonia,2026-04-01,35,$0.01 ,$0.24 ,4.11%
Japan,2026-04-05,35,$0.00 ,$0.14 ,4.25%
Thailand,2026-04-03,35,$0.01 ,$0.18 ,1.47%
Belgium,2026-04-06,34,$0.00 ,$0.14 ,4.55%
India,2026-04-02,34,$0.01 ,$0.26 ,1.75%
Croatia,2026-04-04,33,$0.01 ,$0.21 ,8.82%
Philippines,2026-04-02,33,$0.01 ,$0.17 ,4.07%
Kyrgyzstan,2026-04-03,32,$0.01 ,$0.32 ,7.46%
Mongolia,2026-04-05,32,$0.00 ,$0.14 ,3.76%
Estonia,2026-04-06,31,$0.02 ,$0.57 ,3.90%
Estonia,2026-04-07,31,$0.01 ,$0.22 ,2.81%
Norway,2026-04-07,31,$0.02 ,$0.53 ,0.79%
South Africa,2026-04-04,31,$0.02 ,$0.55 ,2.38%
India,2026-04-07,30,$0.01 ,$0.37 ,1.47%
